date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:05	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
17:56:05	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
17:56:06	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
17:56:06	9684/9684	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
17:56:07	7376/7376	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
17:56:07	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
17:56:08	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
17:56:09	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
17:56:09	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
17:56:10	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
